source_id,variant_label,experiment_id,ua,va,ta,hur,hus,zg,psl,score,complete
ACCESS-CM2,r10i1p1f1,historical,False,False,False,False,False,False,True,1,False
ACCESS-CM2,r10i1p1f1,ssp126,False,False,False,False,False,False,True,1,False
ACCESS-CM2,r10i1p1f1,ssp245,False,False,False,False,False,False,True,1,False
ACCESS-CM2,r10i1p1f1,ssp370,False,False,False,False,False,False,True,1,False
ACCESS-CM2,r10i1p1f1,ssp585,False,False,False,False,False,False,True,1,False
ACCESS-CM2,r1i1p1f1,historical,True,True,True,True,True,True,True,7,True
ACCESS-CM2,r1i1p1f1,ssp126,True,True,True,True,True,True,True,7,True
ACCESS-CM2,r1i1p1f1,ssp245,True,True,True,True,True,True,True,7,True
ACCESS-CM2,r1i1p1f1,ssp370,True,True,True,True,True,True,True,7,True
ACCESS-CM2,r1i1p1f1,ssp585,True,True,True,True,True,True,True,7,True
ACCESS-CM2,r2i1p1f1,historical,False,False,False,False,False,False,True,1,False
ACCESS-CM2,r2i1p1f1,ssp126,False,False,False,False,False,False,True,1,False
ACCESS-CM2,r2i1p1f1,ssp245,False,False,False,False,False,False,True,1,False
ACCESS-CM2,r2i1p1f1,ssp370,False,False,False,False,False,False,True,1,False
ACCESS-CM2,r2i1p1f1,ssp585,False,False,False,False,False,False,True,1,False
ACCESS-CM2,r3i1p1f1,historical,False,False,False,False,False,False,True,1,False
ACCESS-CM2,r3i1p1f1,ssp126,False,False,False,False,False,False,True,1,False
ACCESS-CM2,r3i1p1f1,ssp245,False,False,False,False,False,False,True,1,False
ACCESS-CM2,r3i1p1f1,ssp370,False,False,False,False,False,False,True,1,False
ACCESS-CM2,r3i1p1f1,ssp585,False,False,False,False,False,False,True,1,False
ACCESS-CM2,r4i1p1f1,historical,True,True,True,True,True,True,True,7,True
ACCESS-CM2,r4i1p1f1,ssp126,True,True,True,True,True,True,True,7,True
ACCESS-CM2,r4i1p1f1,ssp245,True,True,True,True,True,True,True,7,True
ACCESS-CM2,r4i1p1f1,ssp370,True,True,True,True,True,True,True,7,True
ACCESS-CM2,r4i1p1f1,ssp585,True,True,True,True,True,True,True,7,True
ACCESS-CM2,r5i1p1f1,historical,True,True,True,True,True,True,True,7,True
ACCESS-CM2,r5i1p1f1,ssp126,True,True,True,True,True,True,True,7,True
ACCESS-CM2,r5i1p1f1,ssp245,True,True,True,True,True,True,True,7,True
ACCESS-CM2,r5i1p1f1,ssp370,True,True,True,True,True,True,True,7,True
ACCESS-CM2,r5i1p1f1,ssp585,True,True,True,True,True,True,True,7,True
ACCESS-CM2,r6i1p1f1,historical,False,False,False,False,False,False,True,1,False
ACCESS-CM2,r6i1p1f1,ssp126,False,False,False,False,False,False,True,1,False
ACCESS-CM2,r6i1p1f1,ssp245,False,False,False,False,False,False,True,1,False
ACCESS-CM2,r6i1p1f1,ssp370,False,False,False,False,False,False,True,1,False
ACCESS-CM2,r6i1p1f1,ssp585,False,False,False,False,False,False,True,1,False
ACCESS-CM2,r7i1p1f1,historical,False,False,False,False,False,False,True,1,False
ACCESS-CM2,r7i1p1f1,ssp126,False,False,False,False,False,False,True,1,False
ACCESS-CM2,r7i1p1f1,ssp245,False,False,False,False,False,False,True,1,False
ACCESS-CM2,r7i1p1f1,ssp370,False,False,False,False,False,False,True,1,False
ACCESS-CM2,r7i1p1f1,ssp585,False,False,False,False,False,False,True,1,False
ACCESS-CM2,r8i1p1f1,historical,False,False,False,False,False,False,True,1,False
ACCESS-CM2,r8i1p1f1,ssp126,False,False,False,False,False,False,True,1,False
ACCESS-CM2,r8i1p1f1,ssp245,False,False,False,False,False,False,True,1,False
ACCESS-CM2,r8i1p1f1,ssp370,False,False,False,False,False,False,True,1,False
ACCESS-CM2,r8i1p1f1,ssp585,False,False,False,False,False,False,True,1,False
ACCESS-CM2,r9i1p1f1,historical,False,False,False,False,False,False,True,1,False
ACCESS-CM2,r9i1p1f1,ssp126,False,False,False,False,False,False,True,1,False
ACCESS-CM2,r9i1p1f1,ssp245,False,False,False,False,False,False,True,1,False
ACCESS-CM2,r9i1p1f1,ssp370,False,False,False,False,False,False,True,1,False
ACCESS-CM2,r9i1p1f1,ssp585,False,False,False,False,False,False,True,1,False
ACCESS-ESM1-5,r10i1p1f1,historical,True,True,True,True,True,False,True,6,False
ACCESS-ESM1-5,r10i1p1f1,ssp126,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r10i1p1f1,ssp245,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r10i1p1f1,ssp370,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r10i1p1f1,ssp585,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r11i1p1f1,historical,True,True,True,True,True,False,True,6,False
ACCESS-ESM1-5,r11i1p1f1,ssp126,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r11i1p1f1,ssp245,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r11i1p1f1,ssp370,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r11i1p1f1,ssp585,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r12i1p1f1,historical,True,True,True,True,True,False,True,6,False
ACCESS-ESM1-5,r12i1p1f1,ssp126,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r12i1p1f1,ssp245,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r12i1p1f1,ssp370,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r12i1p1f1,ssp585,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r13i1p1f1,historical,True,True,True,True,True,False,True,6,False
ACCESS-ESM1-5,r13i1p1f1,ssp126,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r13i1p1f1,ssp245,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r13i1p1f1,ssp370,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r13i1p1f1,ssp585,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r14i1p1f1,historical,True,True,True,True,True,False,True,6,False
ACCESS-ESM1-5,r14i1p1f1,ssp126,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r14i1p1f1,ssp245,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r14i1p1f1,ssp370,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r14i1p1f1,ssp585,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r15i1p1f1,historical,True,True,True,True,True,False,True,6,False
ACCESS-ESM1-5,r15i1p1f1,ssp126,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r15i1p1f1,ssp245,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r15i1p1f1,ssp370,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r15i1p1f1,ssp585,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r16i1p1f1,historical,True,True,True,True,True,False,True,6,False
ACCESS-ESM1-5,r16i1p1f1,ssp126,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r16i1p1f1,ssp245,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r16i1p1f1,ssp370,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r16i1p1f1,ssp585,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r17i1p1f1,historical,True,True,True,True,True,False,True,6,False
ACCESS-ESM1-5,r17i1p1f1,ssp126,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r17i1p1f1,ssp245,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r17i1p1f1,ssp370,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r17i1p1f1,ssp585,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r18i1p1f1,historical,True,True,True,True,True,False,True,6,False
ACCESS-ESM1-5,r18i1p1f1,ssp126,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r18i1p1f1,ssp245,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r18i1p1f1,ssp370,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r18i1p1f1,ssp585,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r19i1p1f1,historical,True,True,True,True,True,False,True,6,False
ACCESS-ESM1-5,r19i1p1f1,ssp126,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r19i1p1f1,ssp245,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r19i1p1f1,ssp370,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r19i1p1f1,ssp585,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r1i1p1f1,historical,True,True,True,True,True,False,True,6,False
ACCESS-ESM1-5,r1i1p1f1,ssp126,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r1i1p1f1,ssp245,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r1i1p1f1,ssp370,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r1i1p1f1,ssp585,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r20i1p1f1,historical,True,True,True,True,True,False,True,6,False
ACCESS-ESM1-5,r20i1p1f1,ssp126,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r20i1p1f1,ssp245,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r20i1p1f1,ssp370,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r20i1p1f1,ssp585,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r21i1p1f1,historical,True,True,True,True,True,False,True,6,False
ACCESS-ESM1-5,r21i1p1f1,ssp126,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r21i1p1f1,ssp245,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r21i1p1f1,ssp370,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r21i1p1f1,ssp585,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r22i1p1f1,historical,True,True,True,True,True,False,True,6,False
ACCESS-ESM1-5,r22i1p1f1,ssp126,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r22i1p1f1,ssp245,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r22i1p1f1,ssp370,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r22i1p1f1,ssp585,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r23i1p1f1,historical,True,True,True,True,True,False,True,6,False
ACCESS-ESM1-5,r23i1p1f1,ssp126,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r23i1p1f1,ssp245,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r23i1p1f1,ssp370,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r23i1p1f1,ssp585,True,True,True,True,True,True,True,7,True
ACCESS-ESM1-5,r24i1p1f1,historical,True,True,True,True,True,False,True,6,False
