source_id	variant_label	experiment_id	variable_id	start_year	end_year	file_name	https_url	checksum	checksum_type	file_size_mb	data_node
ACCESS-CM2	r1i1p1f1	historical	hur	1950	1954	hur_day_ACCESS-CM2_historical_r1i1p1f1_gn_19500101-19541231.nc	https://g-52ba3.fd635.8443.data.globus.org/css03_data/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/historical/r1i1p1f1/day/hur/gn/v20191108/hur_day_ACCESS-CM2_historical_r1i1p1f1_gn_19500101-19541231.nc	49b45d167a807e5d2334f1f2a930b3fed9851a3c29d984ec3b26a4b320dbc951	SHA256	967.36	eagle.alcf.anl.gov
ACCESS-CM2	r1i1p1f1	historical	hur	1955	1959	hur_day_ACCESS-CM2_historical_r1i1p1f1_gn_19550101-19591231.nc	https://g-52ba3.fd635.8443.data.globus.org/css03_data/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/historical/r1i1p1f1/day/hur/gn/v20191108/hur_day_ACCESS-CM2_historical_r1i1p1f1_gn_19550101-19591231.nc	7598f244c492750d774e2fbc0bb9376c4782812783cbc9d706b94248dbd5331a	SHA256	966.53	eagle.alcf.anl.gov
ACCESS-CM2	r1i1p1f1	historical	hur	1960	1964	hur_day_ACCESS-CM2_historical_r1i1p1f1_gn_19600101-19641231.nc	https://g-52ba3.fd635.8443.data.globus.org/css03_data/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/historical/r1i1p1f1/day/hur/gn/v20191108/hur_day_ACCESS-CM2_historical_r1i1p1f1_gn_19600101-19641231.nc	26c95da3a8225116db6062ea0a119519a16745c853c399ebb92fdfef2dfc9046	SHA256	968.19	eagle.alcf.anl.gov
ACCESS-CM2	r1i1p1f1	historical	hur	1965	1969	hur_day_ACCESS-CM2_historical_r1i1p1f1_gn_19650101-19691231.nc	https://g-52ba3.fd635.8443.data.globus.org/css03_data/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/historical/r1i1p1f1/day/hur/gn/v20191108/hur_day_ACCESS-CM2_historical_r1i1p1f1_gn_19650101-19691231.nc	96bfdaa020eeb9076db5eec35bf3648eaa2d5eaac657eac3e4837be4a0740682	SHA256	967.01	eagle.alcf.anl.gov
ACCESS-CM2	r1i1p1f1	historical	hur	1970	1974	hur_day_ACCESS-CM2_historical_r1i1p1f1_gn_19700101-19741231.nc	https://g-52ba3.fd635.8443.data.globus.org/css03_data/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/historical/r1i1p1f1/day/hur/gn/v20191108/hur_day_ACCESS-CM2_historical_r1i1p1f1_gn_19700101-19741231.nc	9eb168f42e6a794df5d28de247397c6400b1362878f7fda35bd74eb98de976b0	SHA256	967.5	eagle.alcf.anl.gov
ACCESS-CM2	r1i1p1f1	historical	hur	1975	1979	hur_day_ACCESS-CM2_historical_r1i1p1f1_gn_19750101-19791231.nc	https://g-52ba3.fd635.8443.data.globus.org/css03_data/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/historical/r1i1p1f1/day/hur/gn/v20191108/hur_day_ACCESS-CM2_historical_r1i1p1f1_gn_19750101-19791231.nc	4c1cccedcabfdb66f0bae408505ad1631d0716957411b3b32a342562b4299c3c	SHA256	968.22	eagle.alcf.anl.gov
ACCESS-CM2	r1i1p1f1	historical	hur	1980	1984	hur_day_ACCESS-CM2_historical_r1i1p1f1_gn_19800101-19841231.nc	https://g-52ba3.fd635.8443.data.globus.org/css03_data/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/historical/r1i1p1f1/day/hur/gn/v20191108/hur_day_ACCESS-CM2_historical_r1i1p1f1_gn_19800101-19841231.nc	061d34b22ba1aaec25aca5a12b0ecb0d97de9bdba4eff05834cf58f21e7ba0fb	SHA256	968.99	eagle.alcf.anl.gov
ACCESS-CM2	r1i1p1f1	historical	hur	1985	1989	hur_day_ACCESS-CM2_historical_r1i1p1f1_gn_19850101-19891231.nc	https://g-52ba3.fd635.8443.data.globus.org/css03_data/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/historical/r1i1p1f1/day/hur/gn/v20191108/hur_day_ACCESS-CM2_historical_r1i1p1f1_gn_19850101-19891231.nc	4b50c353b9c66f59ed9de1f71cb00d256b5d847e571b38d2768e5149058c35d0	SHA256	971.04	eagle.alcf.anl.gov
ACCESS-CM2	r1i1p1f1	historical	hur	1990	1994	hur_day_ACCESS-CM2_historical_r1i1p1f1_gn_19900101-19941231.nc	https://g-52ba3.fd635.8443.data.globus.org/css03_data/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/historical/r1i1p1f1/day/hur/gn/v20191108/hur_day_ACCESS-CM2_historical_r1i1p1f1_gn_19900101-19941231.nc	8ce43d968f87a41bb27fd15bfda98fe3f15d683877e1b5fb13b4fd0b420cc91f	SHA256	971.5	eagle.alcf.anl.gov
ACCESS-CM2	r1i1p1f1	historical	hur	1995	1999	hur_day_ACCESS-CM2_historical_r1i1p1f1_gn_19950101-19991231.nc	https://g-52ba3.fd635.8443.data.globus.org/css03_data/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/historical/r1i1p1f1/day/hur/gn/v20191108/hur_day_ACCESS-CM2_historical_r1i1p1f1_gn_19950101-19991231.nc	199ab341baf0679b520c0eb405630d221f7bdb68c09dd15fe3349edcf762acc9	SHA256	974.48	eagle.alcf.anl.gov
