"Rank_Familia","Familia","Mejor_Variante","ID_Interno","Mean_Rank","SD_Rank","Freq_Top10","Total_Variantes_Familia"
1,"NorESM2-MM","NorESM2-MM.r1i1p1f1","ssp585.CMIP6.NorESM2_MM.r1i1p1f1",1,0,"9 / 9",1
2,"EC-Earth3-Veg","EC-Earth3-Veg.r4i1p1f1","ssp585.CMIP6.EC_Earth3_Veg.r4i1p1f1",2.22,0.44,"9 / 9",1
3,"UKESM1-0-LL","UKESM1-0-LL.r1i1p1f2","ssp585.CMIP6.UKESM1_0_LL.r1i1p1f2",5.28,3.15,"8 / 9",5
4,"MPI-ESM1-2-LR","MPI-ESM1-2-LR.r5i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r5i1p1f1",6.11,2.2,"8 / 9",10
5,"EC-Earth3-Veg-LR","EC-Earth3-Veg-LR.r1i1p1f1","ssp585.CMIP6.EC_Earth3_Veg_LR.r1i1p1f1",9.89,5.21,"5 / 9",1
6,"MPI-ESM1-2-HR","MPI-ESM1-2-HR.r1i1p1f1","ssp585.CMIP6.MPI_ESM1_2_HR.r1i1p1f1",10.5,7.45,"5 / 9",1
7,"TaiESM1","TaiESM1.r1i1p1f1","ssp585.CMIP6.TaiESM1.r1i1p1f1",17.28,5.76,"1 / 9",1
8,"MRI-ESM2-0","MRI-ESM2-0.r1i1p1f1","ssp585.CMIP6.MRI_ESM2_0.r1i1p1f1",18,1.8,"0 / 9",1
9,"IPSL-CM6A-LR","IPSL-CM6A-LR.r2i1p1f1","ssp585.CMIP6.IPSL_CM6A_LR.r2i1p1f1",20.44,6.27,"1 / 9",6
10,"INM-CM4-8","INM-CM4-8.r1i1p1f1","ssp585.CMIP6.INM_CM4_8.r1i1p1f1",26.33,2.92,"0 / 9",1
11,"NorESM2-LM","NorESM2-LM.r1i1p1f1","ssp585.CMIP6.NorESM2_LM.r1i1p1f1",26.67,4.3,"0 / 9",1
12,"KACE-1-0-G","KACE-1-0-G.r1i1p1f1","ssp585.CMIP6.KACE_1_0_G.r1i1p1f1",28.33,2.92,"0 / 9",1
13,"INM-CM5-0","INM-CM5-0.r1i1p1f1","ssp585.CMIP6.INM_CM5_0.r1i1p1f1",28.67,1.73,"0 / 9",1
14,"MIROC6","MIROC6.r1i1p1f1","ssp585.CMIP6.MIROC6.r1i1p1f1",31.56,2.96,"0 / 9",2
15,"FGOALS-g3","FGOALS-g3.r1i1p1f1","ssp585.CMIP6.FGOALS_g3.r1i1p1f1",33,1.58,"0 / 9",1
16,"CanESM5","CanESM5.r1i1p1f1","ssp585.CMIP6.CanESM5.r1i1p1f1",35,0.5,"0 / 9",2
