"Rank_Familia","Familia","Mejor_Variante","Modelo_ESGF","ID_Interno","Mean_Rank","SD_Rank","Freq_Top10","Total_Variantes_Familia","Rank_Ensamble"
1,"NorESM2-MM","NorESM2-MM.r1i1p1f1","NorESM2-MM.r1i1p1f1","ssp585.CMIP6.NorESM2_MM.r1i1p1f1",1,0,"9 / 9",1,1
2,"EC-Earth3-Veg","EC-Earth3-Veg.r4i1p1f1","EC-Earth3.r4i1p1f1","ssp585.CMIP6.EC_Earth3_Veg.r4i1p1f1",2.22,0.44,"9 / 9",1,2
3,"UKESM1-0-LL","UKESM1-0-LL.r1i1p1f2","UKESM1-0-LL.r1i1p1f2","ssp585.CMIP6.UKESM1_0_LL.r1i1p1f2",5.28,3.15,"8 / 9",5,3
4,"MPI-ESM1-2-LR","MPI-ESM1-2-LR.r5i1p1f1","MPI-ESM1-2-LR.r5i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r5i1p1f1",6.11,2.2,"8 / 9",10,4
7,"TaiESM1","TaiESM1.r1i1p1f1","TaiESM1.r1i1p1f1","ssp585.CMIP6.TaiESM1.r1i1p1f1",17.28,5.76,"1 / 9",1,5
8,"MRI-ESM2-0","MRI-ESM2-0.r1i1p1f1","MRI-ESM2-0.r1i1p1f1","ssp585.CMIP6.MRI_ESM2_0.r1i1p1f1",18,1.8,"0 / 9",1,6
9,"IPSL-CM6A-LR","IPSL-CM6A-LR.r2i1p1f1","IPSL-CM6A-LR.r2i1p1f1","ssp585.CMIP6.IPSL_CM6A_LR.r2i1p1f1",20.44,6.27,"1 / 9",6,7
10,"INM-CM4-8","INM-CM4-8.r1i1p1f1","INM-CM4-8.r1i1p1f1","ssp585.CMIP6.INM_CM4_8.r1i1p1f1",26.33,2.92,"0 / 9",1,8
12,"KACE-1-0-G","KACE-1-0-G.r1i1p1f1","KACE-1-0-G.r1i1p1f1","ssp585.CMIP6.KACE_1_0_G.r1i1p1f1",28.33,2.92,"0 / 9",1,9
14,"MIROC6","MIROC6.r1i1p1f1","MIROC6.r1i1p1f1","ssp585.CMIP6.MIROC6.r1i1p1f1",31.56,2.96,"0 / 9",2,10
