"Modelo","Familia","Variante","ID_Interno","Mean_Rank","SD_Rank","Freq_Top10","Rank_Familia","Es_Mejor_Familia","Delta_Tas_C","Delta_Pr_mm_day","Delta_Pr_pct"
"NorESM2-MM.r1i1p1f1","NorESM2-MM","r1i1p1f1","ssp585.CMIP6.NorESM2_MM.r1i1p1f1",1,0,"9 / 9",1,TRUE,3.536,-0.368,-7.79
"EC-Earth3-Veg.r4i1p1f1","EC-Earth3-Veg","r4i1p1f1","ssp585.CMIP6.EC_Earth3_Veg.r4i1p1f1",2.22,0.44,"9 / 9",2,TRUE,4.065,-0.285,-8.18
"UKESM1-0-LL.r1i1p1f2","UKESM1-0-LL","r1i1p1f2","ssp585.CMIP6.UKESM1_0_LL.r1i1p1f2",5.28,3.15,"8 / 9",3,TRUE,4.97,-0.281,-6.16
"MPI-ESM1-2-LR.r5i1p1f1","MPI-ESM1-2-LR","r5i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r5i1p1f1",6.11,2.2,"8 / 9",4,TRUE,2.87,-0.481,-12.04
"UKESM1-0-LL.r8i1p1f2","UKESM1-0-LL","r8i1p1f2","ssp585.CMIP6.UKESM1_0_LL.r8i1p1f2",6.5,3.14,"7 / 9",NA,FALSE,4.96,-0.426,-9.19
"UKESM1-0-LL.r2i1p1f2","UKESM1-0-LL","r2i1p1f2","ssp585.CMIP6.UKESM1_0_LL.r2i1p1f2",6.67,2.35,"9 / 9",NA,FALSE,4.908,-0.638,-13.78
"MPI-ESM1-2-LR.r1i1p1f1","MPI-ESM1-2-LR","r1i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r1i1p1f1",6.89,3.72,"8 / 9",NA,FALSE,2.844,-0.402,-10.04
"EC-Earth3-Veg-LR.r1i1p1f1","EC-Earth3-Veg-LR","r1i1p1f1","ssp585.CMIP6.EC_Earth3_Veg_LR.r1i1p1f1",9.89,5.21,"5 / 9",5,TRUE,3.735,-0.327,-9.52
"MPI-ESM1-2-LR.r9i1p1f1","MPI-ESM1-2-LR","r9i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r9i1p1f1",10.11,2.57,"5 / 9",NA,FALSE,2.983,-0.333,-8.47
"MPI-ESM1-2-HR.r1i1p1f1","MPI-ESM1-2-HR","r1i1p1f1","ssp585.CMIP6.MPI_ESM1_2_HR.r1i1p1f1",10.5,7.45,"5 / 9",6,TRUE,2.77,-0.465,-10.25
"MPI-ESM1-2-LR.r2i1p1f1","MPI-ESM1-2-LR","r2i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r2i1p1f1",11.44,3.81,"3 / 9",NA,FALSE,2.903,-0.348,-8.7
"UKESM1-0-LL.r4i1p1f2","UKESM1-0-LL","r4i1p1f2","ssp585.CMIP6.UKESM1_0_LL.r4i1p1f2",11.78,3.49,"4 / 9",NA,FALSE,5.01,-0.239,-5.13
"UKESM1-0-LL.r3i1p1f2","UKESM1-0-LL","r3i1p1f2","ssp585.CMIP6.UKESM1_0_LL.r3i1p1f2",11.89,4.9,"4 / 9",NA,FALSE,4.92,-0.598,-12.66
"MPI-ESM1-2-LR.r10i1p1f1","MPI-ESM1-2-LR","r10i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r10i1p1f1",12.94,1.93,"1 / 9",NA,FALSE,2.858,-0.337,-8.76
"MPI-ESM1-2-LR.r3i1p1f1","MPI-ESM1-2-LR","r3i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r3i1p1f1",14.89,3.44,"1 / 9",NA,FALSE,2.882,-0.291,-7.37
"MPI-ESM1-2-LR.r8i1p1f1","MPI-ESM1-2-LR","r8i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r8i1p1f1",16.67,2.55,"0 / 9",NA,FALSE,2.929,-0.376,-9.44
"TaiESM1.r1i1p1f1","TaiESM1","r1i1p1f1","ssp585.CMIP6.TaiESM1.r1i1p1f1",17.28,5.76,"1 / 9",7,TRUE,4.458,-0.329,-7.99
"MRI-ESM2-0.r1i1p1f1","MRI-ESM2-0","r1i1p1f1","ssp585.CMIP6.MRI_ESM2_0.r1i1p1f1",18,1.8,"0 / 9",8,TRUE,3.42,-0.439,-10.53
"MPI-ESM1-2-LR.r7i1p1f1","MPI-ESM1-2-LR","r7i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r7i1p1f1",19,1.41,"0 / 9",NA,FALSE,2.896,-0.334,-8.53
"MPI-ESM1-2-LR.r6i1p1f1","MPI-ESM1-2-LR","r6i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r6i1p1f1",20.11,3.02,"0 / 9",NA,FALSE,2.91,-0.283,-7.27
"IPSL-CM6A-LR.r2i1p1f1","IPSL-CM6A-LR","r2i1p1f1","ssp585.CMIP6.IPSL_CM6A_LR.r2i1p1f1",20.44,6.27,"1 / 9",9,TRUE,4,-1.191,-23.96
"IPSL-CM6A-LR.r3i1p1f1","IPSL-CM6A-LR","r3i1p1f1","ssp585.CMIP6.IPSL_CM6A_LR.r3i1p1f1",21.44,5.73,"1 / 9",NA,FALSE,4.051,-1.083,-22.52
"MPI-ESM1-2-LR.r4i1p1f1","MPI-ESM1-2-LR","r4i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r4i1p1f1",22.44,3.22,"0 / 9",NA,FALSE,2.97,-0.314,-8.03
"IPSL-CM6A-LR.r6i1p1f1","IPSL-CM6A-LR","r6i1p1f1","ssp585.CMIP6.IPSL_CM6A_LR.r6i1p1f1",23.83,3.1,"0 / 9",NA,FALSE,4.247,-1.124,-22.93
"IPSL-CM6A-LR.r4i1p1f1","IPSL-CM6A-LR","r4i1p1f1","ssp585.CMIP6.IPSL_CM6A_LR.r4i1p1f1",24.89,5.52,"0 / 9",NA,FALSE,4.154,-0.998,-20.36
"IPSL-CM6A-LR.r14i1p1f1","IPSL-CM6A-LR","r14i1p1f1","ssp585.CMIP6.IPSL_CM6A_LR.r14i1p1f1",26.11,3.82,"0 / 9",NA,FALSE,4.298,-1.045,-21.24
"INM-CM4-8.r1i1p1f1","INM-CM4-8","r1i1p1f1","ssp585.CMIP6.INM_CM4_8.r1i1p1f1",26.33,2.92,"0 / 9",10,TRUE,2.681,0.201,5.93
"NorESM2-LM.r1i1p1f1","NorESM2-LM","r1i1p1f1","ssp585.CMIP6.NorESM2_LM.r1i1p1f1",26.67,4.3,"0 / 9",11,TRUE,3.363,-0.029,-0.69
