"Modelo","Familia","Variante","ID_Interno","Rank","Score","Experimento","Descripcion"
"NorESM2-MM.r1i1p1f1","NorESM2-MM","r1i1p1f1","ssp585.CMIP6.NorESM2_MM.r1i1p1f1",1,204,"E7","Termodinámica Pura (Solo Temp)"
"EC-Earth3-Veg.r4i1p1f1","EC-Earth3-Veg","r4i1p1f1","ssp585.CMIP6.EC_Earth3_Veg.r4i1p1f1",2,388,"E7","Termodinámica Pura (Solo Temp)"
"UKESM1-0-LL.r1i1p1f2","UKESM1-0-LL","r1i1p1f2","ssp585.CMIP6.UKESM1_0_LL.r1i1p1f2",3.5,480,"E7","Termodinámica Pura (Solo Temp)"
"UKESM1-0-LL.r8i1p1f2","UKESM1-0-LL","r8i1p1f2","ssp585.CMIP6.UKESM1_0_LL.r8i1p1f2",3.5,480,"E7","Termodinámica Pura (Solo Temp)"
"EC-Earth3-Veg-LR.r1i1p1f1","EC-Earth3-Veg-LR","r1i1p1f1","ssp585.CMIP6.EC_Earth3_Veg_LR.r1i1p1f1",5,482,"E7","Termodinámica Pura (Solo Temp)"
"UKESM1-0-LL.r3i1p1f2","UKESM1-0-LL","r3i1p1f2","ssp585.CMIP6.UKESM1_0_LL.r3i1p1f2",6,504,"E7","Termodinámica Pura (Solo Temp)"
"UKESM1-0-LL.r2i1p1f2","UKESM1-0-LL","r2i1p1f2","ssp585.CMIP6.UKESM1_0_LL.r2i1p1f2",7,512,"E7","Termodinámica Pura (Solo Temp)"
"IPSL-CM6A-LR.r2i1p1f1","IPSL-CM6A-LR","r2i1p1f1","ssp585.CMIP6.IPSL_CM6A_LR.r2i1p1f1",8,516,"E7","Termodinámica Pura (Solo Temp)"
"IPSL-CM6A-LR.r3i1p1f1","IPSL-CM6A-LR","r3i1p1f1","ssp585.CMIP6.IPSL_CM6A_LR.r3i1p1f1",9,568,"E7","Termodinámica Pura (Solo Temp)"
"UKESM1-0-LL.r4i1p1f2","UKESM1-0-LL","r4i1p1f2","ssp585.CMIP6.UKESM1_0_LL.r4i1p1f2",10,572,"E7","Termodinámica Pura (Solo Temp)"
"MPI-ESM1-2-LR.r5i1p1f1","MPI-ESM1-2-LR","r5i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r5i1p1f1",11,582,"E7","Termodinámica Pura (Solo Temp)"
"IPSL-CM6A-LR.r4i1p1f1","IPSL-CM6A-LR","r4i1p1f1","ssp585.CMIP6.IPSL_CM6A_LR.r4i1p1f1",12.5,610,"E7","Termodinámica Pura (Solo Temp)"
"MPI-ESM1-2-LR.r10i1p1f1","MPI-ESM1-2-LR","r10i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r10i1p1f1",12.5,610,"E7","Termodinámica Pura (Solo Temp)"
