"Modelo","Familia","Variante","ID_Interno","Rank_E0","Score_E0","Rank_E1","Score_E1","Rank_E2","Score_E2","Rank_E3","Score_E3","Rank_E4","Score_E4","Rank_E5","Score_E5","Rank_E6","Score_E6","Rank_E7","Score_E7","Rank_E8","Score_E8"
"CanESM5.r1i1p1f1","CanESM5","r1i1p1f1","ssp585.CMIP6.CanESM5.r1i1p1f1",35,1211,35,1849,35,1784,35,1131,35,1709,35,1752,35,2529,36,1276,34,1146
"CanESM5.r2i1p1f1","CanESM5","r2i1p1f1","ssp585.CMIP6.CanESM5.r2i1p1f1",36,1225,36,1853,36,1822,36,1146,36,1742,36,1757,36,2603,35,1256,36,1194
"EC-Earth3-Veg.r4i1p1f1","EC-Earth3-Veg","r4i1p1f1","ssp585.CMIP6.EC_Earth3_Veg.r4i1p1f1",2,396,2,590,2,598,3,458,2,536,2,642,2,808,2,388,3,404
"EC-Earth3-Veg-LR.r1i1p1f1","EC-Earth3-Veg-LR","r1i1p1f1","ssp585.CMIP6.EC_Earth3_Veg_LR.r1i1p1f1",8,582,6,823,11,923,17,686,4,782,11,916,8,1244,5,482,19,682
"FGOALS-g3.r1i1p1f1","FGOALS-g3","r1i1p1f1","ssp585.CMIP6.FGOALS_g3.r1i1p1f1",34,1034,32,1481,34,1621,34,1062,32,1456,32,1555,34,2327,30,894,35,1174
"INM-CM4-8.r1i1p1f1","INM-CM4-8","r1i1p1f1","ssp585.CMIP6.INM_CM4_8.r1i1p1f1",28,874,27,1271,29,1351,22,811,29,1239,22,1166,29,1913,24,794,27,954
"INM-CM5-0.r1i1p1f1","INM-CM5-0","r1i1p1f1","ssp585.CMIP6.INM_CM5_0.r1i1p1f1",30,915,29,1350,30,1395,25,872,30,1258,27,1274,30,1914,29,870,28,960
"IPSL-CM6A-LR.r14i1p1f1","IPSL-CM6A-LR","r14i1p1f1","ssp585.CMIP6.IPSL_CM6A_LR.r14i1p1f1",26,840,25,1181,27,1339,28,922,26,1164,28,1295,27,1829,17,682,31,998
"IPSL-CM6A-LR.r1i1p1f1","IPSL-CM6A-LR","r1i1p1f1","ssp585.CMIP6.IPSL_CM6A_LR.r1i1p1f1",31,918,28,1312,32,1442,30,948,31,1268,29,1373,31,1995,23,788,33,1048
"IPSL-CM6A-LR.r2i1p1f1","IPSL-CM6A-LR","r2i1p1f1","ssp585.CMIP6.IPSL_CM6A_LR.r2i1p1f1",21,747,14,1005,23,1236,23,816,21,1040,20,1118,24,1706,8,516,30,978
"IPSL-CM6A-LR.r3i1p1f1","IPSL-CM6A-LR","r3i1p1f1","ssp585.CMIP6.IPSL_CM6A_LR.r3i1p1f1",22,765,16,1049,24,1246,24,851,23,1057,23,1176,23,1705,9,568,29,962
"IPSL-CM6A-LR.r4i1p1f1","IPSL-CM6A-LR","r4i1p1f1","ssp585.CMIP6.IPSL_CM6A_LR.r4i1p1f1",25,825,21,1130,28,1345,27,915,25,1135,25.5,1265,28,1830,12.5,610,32,1040
"IPSL-CM6A-LR.r6i1p1f1","IPSL-CM6A-LR","r6i1p1f1","ssp585.CMIP6.IPSL_CM6A_LR.r6i1p1f1",24,796,23,1135,25,1253,26,873,24,1095,25.5,1265,25,1712,16,678,26,914
"KACE-1-0-G.r1i1p1f1","KACE-1-0-G","r1i1p1f1","ssp585.CMIP6.KACE_1_0_G.r1i1p1f1",29,891,31,1415,26,1258,29,927,28,1217,31,1493,26,1722,32,1048,23,734
